番号,判定,総プレイ時間(時間),レビュー本文,AI感情判定(Ollama),具体的な要因,要因の分類,AIによる分析理由
64,おすすめ,15,"しばらくプレイして、HAWKEN っぽいのは分かりました。ただ日本語化してないから何がどう進んでいるのかわかりません(^^;例のちっちゃいキャラが倒しにくい。シールドは減った場合は、リペアできないのですかね。
まだ製作途中なので何とも言えませんが。あとマップがややこしくて。はまるときがある。暗い所があって、方向が分かりにくい。せめて、マップでも表示できるようにしてほしい。一応、今後のことを考えて。お勧めに変えます。人がいないと流行りませんし。ロボーげーは、廃れる運命が多いので(^^;",positive,おすすめ,外部要因・映画化,ゲームの将来性を期待して「お勧めに変えます」と述べているため。
65,おすすめしない,0,"[h1]タイタ◯フォール2やろうぜ！[/h1]
REBORNせずそのまま眠ってたほうが良かったよねこれ
チュートリアルで突きつけられる設定変更のしにくさ、画質の粗さ開幕香ってくるうんちのかほり
正直前作のほうが画質良かった感じがする
敵は基本的に小さい兵士とちょいちょい出てくる敵メカ
この敵兵士踏みつけて倒すことがが出来ないちまちま銃で狙いましょう初期装備はマシンガンで敵一体のみに当たるから的が小さいし当たりにくいぜ！
そして死んだかわからないHPバー表示しつつ直立したまま死んでる敵兵君がいたりとなかなかのうんち具合
敵メカはなんか種類が豊富？なのかなしらんけどね、どこ撃ってもダメージは変わってるように感じないし弾を当て続けてたら全部死ぬし爽快感のかけらは感じない
え？この作業をずっとやるんですか！？
進むのがめんどくさかったらダッシュ+ジャンプで高速移動ができるぞ

俺はタイタン◯ォール2やるよ",negative,画質の粗さ,演出・グラフィック,チュートリアルから画質の粗さが指摘されており、前作の方が良かったと感じているため。
66,おすすめしない,4,"結論から言うと、これはHAWKENではない

硬派なPvPメックゲーから学芸会レベルのPvEゲーになってしまった。
アーマードコアも出されるタイミングでよく出そうと思ったな。上層部の奴らは本当にプレイしてるのかと疑ってしまいたくなる。

アーリーアクセスだし、、、仕方ないかもね！",negative,学芸会レベルのPvEゲー,ゲームシステム,レビュー者は、期待していた硬派なPvPメックゲーではなく、子供向けのPvEゲーになってしまったと不満を述べているため。
67,おすすめしない,2,"単純にクオリティが低い。

ユーザーの意見を集めるためのアーリーアクセスとはいえ、設定が反映されなかったりUIが劣悪だったりそれ以前のクオリティ。

旧作が大好きだった故に改善点ばかりが目について遊んでいて辛くなった

旧作好きな人はまだ遊ばない方がいいです。",negative,設定反映,ゲームシステム,設定が反映されないなど、ゲームシステムの不具合が目立ったため。
68,おすすめしない,1,"旧作のHAWKENは昔少しだけプレイして、自分は他にやりたいゲームがあったのであまりプレイしなかったのですが、そんなに悪いゲームじゃなかったなと記憶していたので、それが10年越し？　くらいに復活したってことでちょっとワクワクした感じでプレイを始めました。


結論としては、あまり褒める所がないゲームで、悪い点を挙げればキリがないといった所です。

まず第一に他の人のレビューにもある通りUIが非常に悪いです。戦闘中にこまめに見ながら戦いたいレーダー、シールド、ブーストゲージが見づらい位置にある上に色合いも悪く、とても地味です。
レーダーはアイコンが大きくて距離感がつかみにくく、情報量が少ないです。
UIが悪いのはミッション中だけでなく、他の全てのUIの作りも悪いです。なぜescキーでメニューを開いた後にマウスカーソルやホイールで項目を選択できないようにしたのか、理解に苦しみます。

それと敵のギミックが悪く、なんの工夫もありません。ただジャンプしながら避けられない弾を撃ってくるだけで、こちらとしてはできることがとても少ないです。

足を撃ったらよろけてその間に後ろに回り込めるとか、武器を撃ったら壊れないまでも発射レートが落ちるとか、弱点となるポイントがあるとか、予備動作がある大技を撃ってくるとか、ちょっと考えるだけでいくらでも工夫できることが思いつくのに、本当にただ弾を撃ちあって削りあいをするだけです。こちらはシールドがなくなりそうになったら逃げるのですが、相手はそれを阻止するために追いかけてもこないし、自分のシールドを回復するために逃げようともしません。

そもそも実質的な敵の種類が少なすぎで、細かくて狙いにくい敵と、固定砲台と、メックしかいません。
それらに対してこちらができることも少なく、ただ集中砲火されない位置からチマチマ撃つくらいで、範囲攻撃も近接攻撃もないし、ロックして撃てるミサイルなんかももちろんないし（ゲームを進めたらあるのかもしれませんが）、高速機動で相手の後ろに回り込んで戦う、なんてこともできません。そもそも敵も味方も旋回速度に限界がなさそうだし。
そういうタクティカルな動きができない、する意味がないと、ただの歩きながら的を撃つゲームになってしまいます。
せめて高速機動中に弾を撃てるようにしてほしかった。

ミッションも3面までしかやってませんが何一つ面白い要素がなく、目標にインタラクトするのに無駄に時間を取られるし（普通は戦闘中はインタラクトできないとか、敵を殲滅しないとマーカーがアクティブにならないとかいうようにする）、風景も特に景色がいいとかHAWKEN独特のものがあるとかがないです。

登場するキャラクターも特に目を引くところがありません（プロテインバー！）。しゃべる敵も出てこない（出てきたっけ？）ので自分が戦う意義を感じられないです。",negative,UIの悪さ,ゲームシステム,戦闘中に必要な情報が見づらく、操作性も悪いUIが挙げられているため。
69,おすすめしない,4,"前作の爽快感は無くなりビジュアル面も古臭くなってしまったHAWKENの名を騙る何か


良い点
・無料
・容量が10GB未満
	8.97GB
・CTDなど致命的な問題はない
	マウスセンシビリティを変えられないといった問題はある

悪い点
・狭いオープンワールド
	狭いがやたら敵の沸き場が多い
・敵がやたら多い
	のは良いのだが突然ワープで出現、しかも小さい歩兵がやたら沢山出てくる。
・ラグい
	ダッシュするとワープ、敵の体力を削りきってから実際に死ぬまでに間がある
・マップ内でできることが少ない
	雑に沸いてくる敵を倒す事と固定位置にランダムで出現する素材の入手しか無い
	爆発するドラム缶すら無い
・ビジュアル、グラフィックが数世代前の雰囲気
	地形やモデルが雑。目を惹く風景も無い。前作のようにロボがロボらしい動きをしてくれない。
	全体的なデザインが00年代あたりのSFゲーム
・CR-Tが居ない
	ダメでしょ

苦痛はそこまで無いが、なんというか虚無",negative,ビジュアル・グラフィック,演出・グラフィック,数世代前の雰囲気で、地形やモデルが雑だと述べているため。
70,おすすめしない,1,"他の方が指摘されているUIなどは今後改善できますが、もっと深刻なのはゲームデザイン全般です。
旧HAWKENのようなリアルデザインの兵器が消え、とってつけたようなチープな近未来デザインになっています。これはデザイナーが交代した可能性が高いです。
また、色調も必要以上に鮮やかになってしまっており、ゲームを作り始めた専門学生のような「こんなエフェクトも使えるんだよ！凄いでしょ！」という感じの見せ方になってしまっています。
良い作品を作ろうという製作者の意気込みが伝わる前作と比較すると、なるべく安く、仕事として作ったゲームという感じがしてしまいます。
デザインの刷新は非常にコストがかかるため、今作の今後はあまり明るくないイメージです。",negative,デザインの刷新,演出・グラフィック,デザイナー交代によるチープな近未来デザインと鮮やかな色調が、前作のような意気込みを感じさせないため。
71,おすすめ,1,産業廃棄物から作られた産業廃棄物,negative,ボリューム不足,ボリューム・価格,「産業廃棄物」と表現し、内容の少なさを皮肉っているため。
72,おすすめしない,1,"前作vPのHAWKENは触りだけプレイなので前作と全然違う！！！！！なんて意見は出せない
コクピットから見た画は、ああこんな感じだったな・・・とは思う
他レビューでも書かれてる通りデフォルトでかなりハイセンシな設定なのもあり
機体の重さを感じずにかなり軽いな、という印象。というかペラペラ

チュートリアルステージではパラパラと散らばるマシンガンでAIMと呼べるほどの操作もなくなんとなく僚機が戦ってくれる
敵機が硬い印象で倒せても爽快感はない
被弾しても自機がどの程度ダメージを受けているのかいまいち分かりづらい
わらわらと湧いてくる人タイプのエネミーがとにかくすこぶる不愉快
散らばるマシンガンで何発か当てないと倒せないし当たってるのかもよくわからないし
どこから撃ってきてるのかも把握がめんどくさい
せめて踏みつぶすくらいできないと足元にいてももういいやってなる

チュートリアルにて自機のカスタマイズや設定方法が指示されるのだが
背景とUIが溶け合っててどこを指示しているのかがわかりづらい
だいぶストレス

1時間ほどプレイしたところで終わろうとするがゲーム終了が見つからない
よくあるESC押したらシステムメニューが……なんてこともないので手動で探した
かなりストレス

久々にストレスをかけられて発散できないゲームと出会ったなと感じている
個人的評価はHAWKENの権利使っただけの糞ゲー、かな",negative,操作性,ゲームシステム,AIMが難しく、敵機の攻撃も分かりづらいためストレスを感じた。
73,おすすめ,3,"[h1]ぶっちゃけHAWKEN REBORNではなく、HAWKEN stillbornだゾ。極端な話、アーマードコアを待つか、我慢できないならMWOかMW5やれ。[/h1]

https://store.steampowered.com/app/342200/MechWarrior_Online_Legends/
https://store.steampowered.com/app/784080/MechWarrior_5_Mercenaries/
[h1]全ての判定処理をさせてるサーバーが地球の反対側にあるため「ほぼ」プレイできない[/h1]
回線速度に自信がある人は時々タイトル画面に戻されながらプレイできる。
全判定処理どゆいみ？って人向け
APEXの場合
マスティフを近距離で当てる→実際には当たってない
自分の画面では移動して避けた→無音でいきなりダウンしてる
の次にほぼ確実に言う言葉だゾ。


[h1]実際のゲームプレイ[/h1]
ゲームはまず[spoiler]大爆音で[/spoiler]ムービーがいきなり流れ、設定をさせてくれないゾ。
ゲーム画面でメニューは一時停止せず、マウスを使用して設定もすることはできないゾ。
ここでメック戦士はすぐに理解できるだろうけど、矢印キーでポチポチするんだゾ。

要するに、コントローラー用に作成されてるゾ。

強制的にスマホゲームっぽいチュートリアルも受けられ、その後すぐに課金ショップが出てくるゾ。金だせ！金！

戦闘は今のところ戦略はないゾ。部位ダメージは上記のMWO等にはあるのにHAWKENにはなく、コックピットや腕、銃などを狙う必要はないゾ。敵が撃破されるまで適当に当てればいいゾ。

ちなみに戻って探検すると、どっかのFPSのようにお前は戦いから逃げようとしている。逃亡者は銃殺されると言われ、爆発したゾ。

[h1]ここがすごい！[/h1]
ショップで現物販売！スキンなどだけでなく、メック、武器なども含まれてる！
最も安いパックでは [b]1100[/b]の通貨が与えられるゾ。買えるアイテムの価格は最安で[b]1179[/b]だゾ。さぁ課金だ！

さらにプレイしてみると、ダッシュとブーストのキーが変えれない、切断されての繰り替えでイライラしながらになるゾ

強くなるためには部品が必要で、そのための追加の通貨とリソースが必要になるゾ。金だせ！金！

若くしてこの世を去ったHAWKENを死霊術で蘇生して使って新しいゲームを作った！って期待させるまではよかったと思うゾ。",negative,課金システム,ボリューム・価格,レビューでは、ゲーム内の課金要素が過剰であると批判されているため。
74,おすすめしない,0,"知ってるHAWKENじゃないぃ･･･
コックピット視点は変わらず良いけどロボの動きが前より早くはなったり鉄臭いロボデザインと良い所もあるけど、それ以上に残念な所が目立つ･･･。バチクソ高い感度を最低まで下げても高すぎる。変なストーリーあるせいでチュートリアルめんどくさい。チュートリアルですでにNPCがバグって進行不可になりかけた。武器などのエフェクトが前作よりもかなりしょぼくなってる。なんなら下手なインディーズゲームよりエフェクトしょぼい･･･。エフェクトに関してはかなり深刻だと思うので他の人が言っている事も含めてとにかく今後アップデートで良くなってくれたら･･･という気持ち",negative,エフェクトの低品質,演出・グラフィック,インディーズゲームより劣るとまで表現しており、著者は不満を抱いているため。
75,おすすめしない,19,"現状ではお勧めできない。
ゲームシステムも課金システムもゲームデザインやビジュアルもUIもすべての素材が生かされていない。
これは本当にHAWKENか？

アーリーアクセスだが、これでは名のある会社が出していいレベルのモノじゃない…
クレームは多く来るだろう。今後の発展に期待する。クリエイターたちの健闘を祈る。",negative,ゲームシステム,ゲームシステム,ゲームシステムや課金システム、ビジュアルなどあらゆる面で生かされていないと批判されているため。
76,おすすめしない,16,"チュートリアル進行不可バグが修正されたので改めてレビュー

[b]HAWKENの新作という色眼鏡を外しても残念な出来のゲーム[/b]

良い点
・基本無料
・PｖEメインのゲームなのでPｖPメインの前作と違って気軽にプレイできる

悪い点
[b]ありとあらゆる部分がダメ[/b]
ハイセンシ問題、見づらく扱いにくいUI、戦闘バランス、グラフィック、サウンド……
詳しく突っ込むと文字制限ぶち抜くくらい長文になるので割愛するが
わざわざ原作に唾吐くためにこのリボーン製作したのかと邪推したくなるレベル

総評・現時点では[b]お先真っ暗の駄作[/b]、まあアーリーアクセスだし
半年ぐらい寝かせて多少まともになったら改めて評価すればいいんじゃないかな。",negative,あらゆる部分がダメ,その他,レビュー全体でゲームのあらゆる要素が問題だと述べているため。
77,おすすめしない,0,"レビューで散々言及されていることではあるが初期マウス感度が凄まじく高く、しかも感度設定が機能していないのがあまりにもストレス
敵のメカとの戦闘はいいのだがワラワラと湧いてくる歩兵の攻撃が無視できない程度に痛く、そしてメカから放たれる弾を2,3発耐える謎のタフさを持つ
ハイセンシでプルプル動かしながらその小さい歩兵を駆除していく作業は爽快感とは縁遠く罰ゲームのよう
マップが広いわりに広域マップ表示が存在せず、あるのは地形すら表示されず敵を赤点で示すだけのミニマップのみ
動きにメカの重厚感がなく、接触するとビルなどの地形を破壊できるような仕様もほぼない

現状日本語対応もしておらず、とても人に勧められるような出来のゲームではないです",negative,初期マウス感度,ゲームシステム,初期マウス感度の高さや設定機能の不備がストレスを誘発しているため。
78,おすすめしない,0,"マウス　コントローラー共感度を最低まで落としても過敏に反応する為戦闘機動中の照準調整が難しい
ゲーミングマウスでマウス制御してるソフト側の感度も落とせば対応できなくもないけどコントローラーの方は対応不能
メックの挙動の関係である程度横を狙うと機体の脚部も動き旋回するのでカメラがぐるぐる回り中の人の三半規管を攻撃するので3Dが苦手な人だと確実に酔います
長年3Dのゲーム漬けで酔いとは無縁と思って慢心していたおっさんでもチュートリアルのわずかなプレイ時間で酔いました
音についても初期設定が爆音な為初回起動時に鼓膜を攻撃してくるのでヘッドセットとスピーカーどちらでもびっくりするレベル
グラフィックについてはXBOX360のギアーズオブウォー並みにレガシーな物
アーマードコア6発売までの3か月間闘争に飢えてる人間からすると色々物足りない仕上がり",negative,戦闘機動中の照準調整,ゲームシステム,マウスやコントローラーの感度が過敏で、戦闘中に照準を合わせるのが難しいと述べているため。
79,おすすめ,110,"HAWKEN の REBORN の EarlyAccessとして最高でした。

ノーカスタムでできる必要はないから倍率ズーム出来るスコープアドオンが欲しいなあとか、
シールドに敵弾受けるにつれてシールドの割れが可視化されて後ろに下がる必要を示唆する表現があるといいんじゃないかなとか、
色々思うことはあるのでアーリーの間に色々考えてみたいところ。

前身の作品にあたるHAWKENは基本市街地戦の戦争ゲーだったんで
ボーダランズっぽいShooterRPGっぽいRebornに市街地戦の雰囲気を求めるのはどうかなーとは思うゾ

早期アクセスゲームの下に開発者からの注意書きがあるからちゃんと読んでやろう。
確かにHAWKENは良ゲーだったし僕もメッチャ遊んだしサービス終了はかなしかったけど、
プレイヤー数が100人とかになっちゃったのは僕らのせいだしさ。そりゃあサービス終了するよ。

PvEとしてのHAWKEN REBORN像があるならもっと遊んで、
「こういうの欲しい」とか「カッコよくね」ってとこを気軽に運営に投げるべきだと思う。

“We're building Hawken Reborn for the community, with the community. Throughout our development process, ""community first"" will be our mantra as we create a feedback loop to involve our players in building a game that strikes the right balance for everyone.

って書いてくれてるし。

というわけでアーリーアクセスのゲームとしてはオススメ。
アーリーアクセスのゲームをやっているんだと言うつもりで楽しんでほしい。
僕はめちゃ楽しい。ｗ

運営は今のとこオープンマインドだし、ゲームとしてはプレイできる。
HAWKENの匂いはするし。ゲームとしては荒削りですばらしく今からって感じ。

前作HAWKENのPvPゲームとして高品質に出来上がってしまったゲームを求めてる人はやんないほうがいいと思う。
あとアーリーと通常のゲームを比較しちゃって不満が出る人もやめたほうがいいかもしれない。",positive,運営のオープンマインド,その他,開発者がコミュニティからのフィードバックを重視し、ゲーム作りに積極的に参加してくれる姿勢が好印象であるため。
80,おすすめしない,1,ちょっとしかやってないけどHAWKENと思ってやったらメック等の見た目が一緒なだけのありがちなPVEゲームでした。,negative,期待外れ,その他, HAWKENと比べて期待していたものが現れなかったため。
81,おすすめしない,1,"劣化HAWKEN
マウス感度が狂っているのとカメラがやたらガタつくのが非常に不快
内容も戦術性皆無の雑な戦闘ばかりで虚無感が非常に強い",negative,マウス感度,ゲームシステム,マウス感度の狂いやカメラのガタつきが不快感を生じさせたため。
82,おすすめしない,8,"とりあえず７時間半ほど遊んでMKlv10まで上げてみて感じたこと(約4000円課金)
使用装備
APEX　MKⅢ
TANKER　MKⅠ
VOLT-A　MKⅠ
KALITUHAN　MKⅢ


良い点
・HAWKENと同じ世界観
・メックに乗れる
・素材集め周回の喜びを感じられた
・リスポーン時間が短い
・レーザーが強い


悪い点
・世界観以外の【HAWKEN】としてはコレジャナイ感が拭えない
・ジャンプしたらカクつく
・敵踏めない
・実弾武器で雑魚を倒すのに一苦労（ボルトさえ開放すればレーザーで雑魚は溶ける）
・MAPを見せてくれ
・左下のMAPが敵情報以外息をしていない上、MAPが見れないのでどこにいるかわからん
いや、やってれば覚えるんだけど新規層増やすならMAPは欲しかった
・動きが単調(これに関しては自分でブースターと移動の速度上げてキャラコンで遊んでます)
・素材どこでとれるか見せてくれるのはいいんだけど、それがどこかわからんのよ
・オープンワールド内での敵のレベルの上がり方がエグイ、現在メックのlvが92だが、
35分弱(2~3クエ)で敵のレベルが90を超えるのだいぶ初心者殺し、
いや初心者はここまでやらないか。


総評
「HAWKEN」っぽい作業系オープンワールド探索採取ゲー
某○○クルフロンティアからPVP消して周回要素豊富にしたような虚m・・・作業を味わえる
グラも使い回し感が否めないしバカみたいなハイセンシだし
クソ作業ゲーが好きだから楽しめてるけど【HAWKEN】を求めてやってきた人にはお勧めできない作品だと言い切れる
例えるんならドラ〇エだと思ったら桃太郎伝説が出てきたような驚きを感じた。
これからに期待し少しだけ課金させてもらったのでここからどうなるかが期待",negative,作業系オープンワールド探索採取ゲー,その他,レビューでは「HAWKEN」のようなゲームを求めていたが、実際は作業性の高いオープンワールド探索採取ゲーであったためである。
83,おすすめしない,0,"ゲームパッドでチュートリアルをクリアしたので書き込み。
・ゲームパッドは認識されているし感度調整の項目もあるのにキーボードのボタンガイドしか出ないずっこけぶり。
・感度は最低まで下げてなおちょっと視点を動かすと光の速さで首を振ってしまうのでエイムもヘチマもない。(ほかのコメントにあるように設定が反映されていない？)
・必死にエイムを合わせ指をつらせかけながら発砲すると右トリガーで左手の銃、左トリガーで右手の銃を撃ちだす素敵脳トレ仕様。おまけに右スティック押し込みをマウス左と認識しているのかそこを押しても左手が発砲を始めるしまつ。中二病患者の腕だってもう少し節度があろうに…
・コックピットUIも中途半端。ブースト残量とか残弾とかのカウンターが枠と同化して非常に視認性が悪い

総評
改善と字幕でいいから日本語対応はよ",negative,設定反映,ゲームシステム,設定が反映されていない可能性があるため。
84,おすすめ,1,"懐かしきHawkenが帰ってきた！
という気持ちがないわけではないですがいいところ悪いところが現状あるので今後のアプデに期待したいというところが本音
本作はシングルプレイになったこともあってストレスフリーなところ、Hawkenのロボを存分に堪能できるという環境としては最高というほかありません
ただしまだシステムが粗削りな部分がありやはりアーリーアクセスだなと感じるところもちょこちょこと
特にひどく感じるのはマウスセンシがいじっても反映されないところにあります
一番下の数値にしてもセンシが変わらず少しマウスを動かすだけでグワングワンと視点が動いてしまうためハードウェア自体のセンシをいじって下げなければいけない状態です
それ以外は特に不満はなくやっていて楽しいと思える作品なので全体的に最高の作品と思えます
日本語化来るといいな！",positive,ストレスフリーな環境,その他,シングルプレイになったことで、Hawkenのロボを存分に堪能できる環境が最高だと述べているため。
85,おすすめ,6,"酷評レビューが多いのは前作を遊んでいるから。
ブーストの画面飛びは少し気になるけど他はちゃんと遊べるレベル。前作の記憶が無い状態なら結構楽しめる作品なんじゃないかな？
ヒートゲージは対人だからこそよかった阻害要素、今作はPvE。

そもそもあの過去のHAWKENは最終過疎りまくってたからあのまま帰ってくることはまず難しい。そう考えるとPvEとしてでもメックに乗れるようになっただけ感謝しかない。過去作と比較したくなる気持ちは凄いわかるけど...。",positive,メックに乗れる,その他,前作の過疎りから考えると、PvEとしてでもメックに乗れるようになっただけでも感謝できるというポジティブな感情が述べられているため。
86,おすすめしない,1,"[h1][b]スクラップにして溶鉱炉で溶かし、再度作り直すべきである[/b][/h1]
HAWKENという最高の題材を使いながら、よくこんなに味の無いガムみたいなゲームに出来たなと。
[spoiler]よくも圧倒的期待感を粉砕してくれたな[/spoiler]

メックというロボに乗りながらも、戦う相手は人間や小型ドローンが多数。
しかもコイツらは何故かシールド持ちで、なおかつダメージが痛くガリガリ削ってくる。
タイタンだったら40mm砲どころか近づくだけで蟻みたいに踏み潰せるぜ。
そして、道中のミッションで出てくるコンソールを操作する際は、メックで近づいてキー入力する必要がある。

[b]これプレイヤー人間でもよくねえか？[/b]

メックである必要性無いだろ、っていうかHAWKENのアセット使う前は人間ベースで作ってたのでは……？

ミッションも地味だし、装備の強化も面白みがないと来た。
なんというかこう、驚きや高揚感の無い劣化版Destiny2やDivision2みたいなゲーム性である。

[b]メックゲーがやりたい人は「MechWarrior 5」を遊び、
カスタム系ロボゲーがやりたい人は「アーマード・コア6」を待とう！[/b]",negative,劣化版Destiny2やDivision2,ゲームシステム,レビュー者は、ゲームのシステムがDestiny2やDivision2に劣っていると述べているため。
87,おすすめしない,1,"廃れてしまったPvPをそのまま出してもすぐにまた人がいなくなるだけだろうとわかるので、何かテコ入れをする必要があったのでPvEになったのはいいと思います。
ただ、歩兵に破壊されるメックは見たくなかった。",negative,メックの脆弱性,ゲームシステム,メックが歩兵に壊されるという描写が作者にとって不快だったため。
88,おすすめしない,0,"アップデートしてもよくなるビジョンが見えない出来のゲームでした。
兵士とばかり戦うでSSDでもロードが謎に長い",negative,ロード時間,ゲームシステム,SSDでもロード時間が長いため、ゲーム体験に不満を感じている。
89,おすすめしない,1,"他の方々が色々と問題点を挙げておられるので、自分からは１点だけ
武器をオーバーヒート性から弾数性に変更したのが、一番嫌だった

旧HAWKENはオーバーヒートこそあれど、ほとんど無限に撃ち続けられるが、
今作は両腕で異なる弾数性のためリロードが存在し、敵を目の前にして撃てない期間が多々発生することにストレスを感じる。
特に、序盤は両腕がマシンガンのため、左右で異なるタイミングでリロードが発生するとイライラする。
小型の敵がワラワラと湧いてくる関係上、戦闘中は上記の事態が頻発して、目の前に撃ち漏らしがいるのに手を出せない状況が発生してテンポが悪く感じる。

あと、動きが軽すぎるためメックがぴょんぴょんとバニホする戦場。(実際、一番早い移動方法)
現状のままでは、オススメできない。",negative,弾数性変更,ゲームシステム,武器のオーバーヒートから弾数に変更になったことで、戦闘中にリロードが発生しストレスを感じるため。
90,おすすめしない,2,サービス終了から12年経っても忘れることのできない、未だ復活の声が根強くある伝説のゲーム“鉄鬼”の影を追い求め、縋るような思いでこのゲームをプレイした。やはり違った。このゲームはなぜこんな作業感の強い作りにしたのか。なぜこんなにも動きがもっさりしていると感じるのか。果ては、プレイヤーに全く武器や機体を買わせる気のない金額設定にされているワークショップ。2時間半プレイしたが、同じような動きをするメカととんでもなく当て辛い小さな歩兵をひたすら打って、ハンガーに戻って回復することを目的として作られたゲームでした。装備をすぐに買えるように課金もありますが、値段が高いよ…。映像面ではグラフィックは綺麗なんですが、今の時代、どれだけ映像が良くても他がダメならユーザーはついてこないのではと思ってしまいます。,negative,作業感の強い作り,ゲームシステム,レビューでは「作業感の強い作り」と表現し、ゲーム内容に楽しさを感じていないため。
91,おすすめしない,1,"懐かしさからPvEになって帰ってきたHAWKEN REBORNをやってみたけど、
自分がやりたかったのはｖｓロボなのに、ｖｓ戦闘兵とｖｓドローンを
強いられて、ロボでコンソールでハッキング作業あったりと面白いか？
と言われると「うーん」って感想でした。※公開後すぐにプレイの感想

乗った感覚は以前のと変わらないけど「爽快感」が減って細かいAIM面倒くさい
ほぼ無抵抗で近寄ってくる敵兵を相手にするシチュエーションに違和感です😵",negative,vs戦闘兵,ゲームシステム,PvEになってしまい、自分がやりたかったvsロボの対戦ができなかったため。
92,おすすめ,1,"2023.5.17リリース直前で知りリリースと同時にプレイ
フォントがシンプルだったり、英語だけだったり、挙動がカクつく部分ありますけど、「メカの世界に異世界転移した」と思えば大丈夫。
早期でこれだけ仕上がっていれば十分遊べます。
前作より挙動がシンプルになった。よく言えば万人受けする挙動に、悪く言えば重厚感が薄くなった。
狭い視界で操作する都合上空間を把握する能力が鍛えられます。
前作同様ここまでメカに振り切ったゲームは少ないので頑張ってほしいです。


主人公に立ち向かう敵の人間がチラホラ出るが、君は怖くないのか？！
メカだけだと戦場っぽさが無いだろうから仕方ないと思うけども！無理するな！隠れてろ！",positive,メカに振り切ったゲーム,その他,メカの世界観と異世界転移の設定が面白いと感じているため。
93,おすすめしない,0,"HAWKENを知らなかった人はトレイラーをみて「アーマードコアみたい！」ってプレイして「なんかちげぇ」ってなり
HAWKENプレイヤーは「HAWKENが帰ってきた！」ってプレイして「なんかちげぇ」ってなるゲーム

感想については詳しくはみんなかいてるだろうけどとりあえずHIT感がない
前はあたるとテテテと敵のHPゲージが下がる音がしたけど全然音がしない
申し訳ないが死に戻りしてくれ",negative,HIT感,ゲームシステム,HIT感がなく、敵のHPゲージが下がる音も聞こえないため不満を述べている。
94,おすすめしない,3,"[h1][b]思ってたんと違う！！[/b][/h1]

[b]あの[/b]知る人ぞ知る隠れた名作ロボットFPSが、まさかの令和に大復活を果たした本作。
PvEになることで、PvPが苦手な日本人にも受け入れやすい作品となって帰ってきた
と
思いきや、予想外のコレジャナイホーケンが飛び出してきました。
PvEという表記で誤解される人が多いと思いますが、本作は少なくとも
今のところは[h2]協力プレイは存在しません。[/h2]
1人、もしくはNPCのメックと共に大量に押し寄せてくれる敵を延々と撃退する、というのが主なコンテンツとなります。
その他ダイジェスト風に良くない部分を挙げるとすると以下の通りになります。
[list]
    [*]敵に弾丸が命中した音が小さすぎるｏｒ無いため敵を撃った手応えがほぼゼロ。
    [*]ダッシュした時やジャンプで天井に擦った時などに、激しめの瞬間移動が入りすごく画面酔いする。
    [*]歩兵が頻繁に出現し、小さな足元の標的をプチプチ潰していくのが非常にストレス。
    [*]敵によってHPバーが短くてもやたら耐久の高い敵がおり、敵のHPインジケーターがアテにならない。
    [*]画面が全体的に暗く、尚且つ敵の歩兵なども色が暗いため非常に視認性が悪い。エフェクト等によってほとんど全く敵が見えない。
    [*]キーコンフィグができず、操作キーを変更できない。
    [*]マウスの感度がメニュー画面にしか適応されておらず、バトル中は感度3000倍でやることを強いられる。
    [*]敵メックに、頻繁にジャンプを繰り返す敵がおり、正直ストレス。
    [*]Fでのインタラクト表示が画面下のフレームに被って非常に見えにくい。最初に気づくまでかなりの時間を要した。
    [*]課金通貨を使っての蘇生に確認が表示されず、ミスクリックへの対応がなされていない。
    [*]死んだ状態から蘇生すると、ミッションの進行度を維持したままその場で復活できるが、死んでいる間も状況が動き続けてしまうため復活に実質的に時間制限がついている状態になっている。
    [*]戦闘中に回復する手段がなく、シールドが切れたら隠れ、回復を待つという流れが固定されてしまい、戦闘がかくれんぼのようになってしまう。
    [*]序盤の武器がマシンガンとライフルだけであるが、ほぼ使用感が同じ武器であり、新しく武器を作るまでにかかる時間が長いので飽きてしまう。
    [*]自機のHPやブーストゲージが画面上の方に表示されてすぎており、自分がダメージをどれ位受けているかが確認しづらい。
    [*]ストーリーもすぐに終わってかなりボリューム不足
[/list]
非常に期待された本作ですが、サービス開始が急にアナウンスされ、急にオープンβテストが始まったことにもっと違和感を覚えるべきでした。
蓋を開ければ令和に発表されたとは思えないほどチープで未完成、ゲームとしての爽快感を微塵も感じさせない作りに匠を感じます。
元となったPvP版Hawkenを流用して開発したのなら、もっと工夫を入れる余力があったのでは？神よ寝ているのですか？
良いロボゲーが少ない昨今においてこの期待を裏切られた事のダメージの深さは、私を含め大量に投稿されているおすすめしないレビューの数が物語っているでしょう。
正直な所ここから持ち直すことはほとんど望み薄です。
ここから協力プレイを実装し、ゲームバランスを見直し、また見辛い敵や背景の色味を調整し…といったことができるほどのマンパワーがあれば、すでに出来ているはずだからです。

[h1]返してよ！私が期待した…リメイクPvEのHawkenを返してよ！！！",negative,チープで未完成,演出・グラフィック,レビューでは、ゲームがチープで未完成であると表現しており、期待を裏切られたと感じているため。
